## AeroDB with Treed Gaussian Process Adaptive Sampling
## (Improved) Cart3D Solutions for the LGBB Geometry
##
## Applied Math & Statistics Department
## University of California, Santa Cruz
## 1156 High St.
## Santa Cruz, CA 95064
##
## and
##
## NASA Advanced Supercomputing - Applications Branch
## NASA Ames Research Center
## Mail Stop T27B-1
## Moffett Field, CA  94035-1000
##
## POC: Robert B. Gramacy (rbgramacy@ams.ucsc.edu))
## Herbert K.H. Lee (herbie@ams.ucsc.edu)
## 
## index = row number from lgbb_as_planned.txt
## mach = Mach Number
## alpha = Angle of attack
## beta = Side-slip angle
## lift = Lift Coefficient
## drag = Drag Coefficient
## pitch = Pitching Moment Coefficient
## side = Side-Force Coefficient
## yaw = Yawing Moment Coefficient
## roll = Rolling Moment Coefficient
##
## the rows below are arranged in the order in which
## they were adaptively sampled
##
index mach alpha beta lift drag pitch side yaw roll
5234 4.45 3 0.5 0.0439604320474663 0.0489805089896466 -0.000913392032959986 -0.00444440411661523 -0.000560652228884261 1.23188565940564e-05
6364 2.45 13 0.5 0.434584284992326 0.157150122728792 -0.00920843881609381 -0.00336563141381759 -0.000651529441084368 -0.000452196604723451
11411 3.25 20 1 0.586875440963074 0.266524308311831 0.00515146924180359 -0.00510050747899743 -0.00213637836175699 -0.00125194738152517
33717 1.2 -5 4 -0.257201769693498 0.106489159698914 0.00665894004088867 -0.0610164966264758 0.00588822274592333 -2.35232029492491e-08
28379 3.4 21 3 0.607583632499209 0.287043374679831 0.00704224325779183 -0.0165380590710726 -0.00627162041188288 -0.00409489982053282
25483 4.85 -4 3 -0.0908769727283245 0.0581599672819892 -0.00681532639108656 -0.0305949114335263 -0.00308612697464604 0.000549909186843958
29173 2.15 28 3 1.04557972448975 0.61246164923712 -0.0104523901638319 0.00512129844328929 -0.00812609956948128 -0.00743340275685271
12647 0.7 -5 1.5 -0.130660743497139 0.0267750080014648 -0.0278046822530797 -0.0220733815795039 0.00154883916665362 -0.000577700949981121
25110 3.75 29 2.5 0.856822622014062 0.535307450333014 0.00848228302511235 -0.0130221194052242 -0.00464096761586402 -0.00483418514856045
14167 0.65 8 1.5 0.569769639112979 0.0763846021519405 -0.0422869750538166 -0.0137015801283945 0.00130997797225677 -0.00372522549224787
4331 0.25 -4 0.5 -0.0585614493633336 0.0431092750016342 -0.030323493575148 -0.00593321368601648 0.000211133168671758 -0.000237967093639559
22637 2.95 8 2.5 0.220898634166299 0.0855376159728116 -0.00398182311812029 -0.0215987720355874 -0.00322559990658364 -0.00102150361837509
21240 3.3 -4 2.5 -0.109264730280121 0.0664139315505897 -0.00530474179286767 -0.0283658380473511 -0.00246177348148882 0.000301265549416426
21647 0.25 0 2.5 0.13752518594265 0.0419006808338922 -0.0336164964219417 -0.0314947850689086 0.0016691574864195 -0.00271904237468357
36757 1.1 21 4 1.27442205509859 0.559032929229103 -0.0917358461783505 0.0555273146538695 -0.0085625982125693 -0.0164401774571491
30582 2.4 4 3.5 0.123462442082036 0.0741501310642221 -0.00788981034992999 -0.0324623820325153 -0.00328474257292595 -0.00169708901204284
4510 3.35 -3 0.5 -0.0838311813111802 0.0607571672073309 -0.00488506888602102 -0.00546383339154488 -0.00051510983316887 3.70412609598033e-05
1287 6 5 0 0.0645679268998885 0.0475313943862664 0.00211867668324305 5.36332772753667e-05 -1.26069327480893e-05 1.02893639400201e-05
19567 1.55 18 2 0.858799018093912 0.340912409003055 -0.0444550365423524 0.00952680555481937 -0.00505778033902305 -0.00534961654670679
18244 5.6 6 2 0.0892486283125396 0.0525105077550133 0.00276214542865445 -0.0163972755334338 -0.00211108682920646 -0.000208812791080147
7758 1.95 25 0.5 1.0009720085285 0.525688191242173 -0.0180377226481446 0.00183137431377614 -0.00149692675060883 -0.0011990371940074
112 5.75 -5 0 -0.10135366062585 0.0582333056135427 -0.00840571133950051 -1.19654469017405e-05 -5.28329485476407e-05 1.29972464809374e-05
27171 1.5 11 3 0.548140401120732 0.179621168743903 -0.0390811362853481 -0.00828240729258173 -0.00304630641283333 -0.00594860600468796
4083 5.4 29 0 0.782459689220992 0.492600235556241 0.0136324845769542 -0.000197831410332583 -7.74611678419467e-05 1.2362335312156e-05
26761 4.4 7 3 0.134781358243925 0.0632367693488124 0.00195447508709531 -0.0261139867471267 -0.00334887093577766 -0.000499467986593197
3047 0.4 21 0 1.23785633570254 0.354744252456787 -0.0587812028591443 0.000846152368467301 -0.000428567664474178 0.000124704069436458
34942 3.95 5 4 0.0994317552663179 0.0594017306804579 -0.000562974769665495 -0.0369401798638324 -0.00469059454028194 -0.00039168056056679
8928 1.95 -1 1 -0.0321811384346141 0.0724826597329585 -0.00803533890981007 -0.0118045094071325 -0.000196652444476405 -0.000262802254010073
37163 3.85 24 4 0.675254208310854 0.35844623758916 0.0113743953472692 -0.0241151127277024 -0.0076785628492271 -0.00590760738103335
16696 4.25 29 1.5 0.82392263332926 0.516882673087426 0.00949993804195224 -0.00827492038266253 -0.00329208963672069 -0.00253472090820286
37544 5.35 27 4 0.712855278862689 0.423777905588881 0.0158818451038649 -0.0235864776913369 -0.00767897778193136 -0.00623191443852368
33590 0.7 30 3.5 1.21442402314508 0.709632094584674 -0.0236822643151798 0.0303754938922908 0.00574657599697072 0.00635402862084433
10295 5.95 10 1 0.171690073015878 0.0739368196928114 0.00745187233132262 -0.00749773075296707 -0.00119052440817186 -0.000352975476119573
26673 5.85 6 3 0.0862996393237807 0.0526766883071886 0.0029565184060007 -0.0245019538386107 -0.00316697041841826 -0.000295315817397102
6767 5.05 16 0.5 0.355750492148107 0.15086394356495 0.0119319416608793 -0.00348076476600165 -0.00082318638397275 -0.00036616455377365
8308 0.2 30 0.5 1.53958960865743 0.744193344543142 -0.0489307930321103 0.0126164641654329 5.46557091304659e-05 -0.00182044667968009
13748 3.1 4 1.5 0.0957490714901547 0.0618710304942951 -0.00380354532994702 -0.0135233571357925 -0.00179955485969113 -0.000324282555213007
5555 2.95 6 0.5 0.159795138215263 0.071634927804199 -0.00463402047478927 -0.00433566811412766 -0.000630473341867386 -0.000156996736621558
34262 5.05 -1 4 -0.0368814375487007 0.0510828495164949 -0.00411654356397494 -0.0375978127873311 -0.00426822831607164 0.000548854622402437
35957 2.05 14 4 0.538383016731016 0.197294607602597 -0.0165924956960771 -0.0175937231097056 -0.00628283240829594 -0.00562168341813655
37330 0.5 26 4 1.33906826884102 0.588454296857133 -0.0658179693664669 0.041692214556627 0.000873591529656403 -0.00400615906654526
16635 1.2 29 1.5 1.48935494423558 0.88734779854006 -0.0677560952196225 0.0440997721084655 -0.00430676440916756 -0.00717068860344638
25162 0.5 30 2.5 1.33975182862194 0.728357003015089 -0.0443179114709122 0.0342439226182231 -0.00083643036978569 0.00176417379496512
36856 0.2 22 4 1.24981901280948 0.406131860392497 -0.0435443144886068 0.0379420982697032 0.000341421348839924 -0.0164217173346163
3985 0.5 29 0 1.34379856135928 0.699001185633398 -0.0513765397392609 7.77266104705632e-05 -0.000261059955882214 -0.000397064446517454
